,index of state,state,value,policy
0,0,"(4, ('0', '1'))",1.0,stop
1,1,"(7, ('1', '0'))",2.0,stop
2,2,"(5, ('1', '1'))",2.0,stop
3,3,"(8, ('0', '1'))",1.0,stop
4,4,"(12, ('2', '1'))",1.0,stop
5,5,"(9, ('1', '0'))",2.0,stop
6,6,"(7, ('1', '1'))",2.0,stop
7,7,"(1, ('0', '0'))",0.7662917149983497,1
8,8,"(13, ('1', '0'))",2.0,stop
9,9,"(9, ('1', '1'))",2.0,stop
10,10,"(2, ('2', '0'))",0.5818140799061542,1
11,11,"(3, ('0', '0'))",1.3176411468394058,2
12,12,"(14, ('0', '0'))",0.9107021664139507,0
13,13,"(13, ('1', '1'))",2.0,stop
14,14,"(6, ('2', '0'))",0.6740246437578155,1
15,15,"(4, ('2', '0'))",0.10010939371085924,2
16,16,"(1, ('1', '0'))",2.0,stop
17,17,"(2, ('2', '1'))",1.0,stop
18,18,"(8, ('2', '0'))",0.15201796822760102,2
19,19,"(6, ('2', '1'))",1.0,stop
20,20,"(0, ('0', '1'))",1.0,stop
21,21,"(3, ('1', '0'))",2.0,stop
22,22,"(1, ('1', '1'))",2.0,stop
23,23,"(4, ('2', '1'))",1.0,stop
24,24,"(11, ('0', '1'))",1.5507976351618855,1
25,25,"(14, ('1', '0'))",2.0,stop
26,26,"(8, ('2', '1'))",1.0,stop
27,27,"(15, ('0', '1'))",1.0,stop
28,28,"(9, ('0', '0'))",0.0,0
29,29,"(3, ('1', '1'))",2.0,stop
30,30,"(14, ('1', '1'))",2.0,stop
31,31,"(10, ('0', '0'))",1.4865752617073251,1
32,32,"(0, ('2', '0'))",0.0,0
33,33,"(11, ('2', '0'))",0.7492981093747078,0
34,34,"(5, ('0', '1'))",1.0,stop
35,35,"(12, ('0', '0'))",0.4616841998023437,1
36,36,"(15, ('2', '0'))",0.0,0
37,37,"(0, ('2', '1'))",1.0,stop
38,38,"(7, ('0', '1'))",1.6155424175660313,2
39,39,"(10, ('1', '0'))",2.0,stop
40,40,"(11, ('2', '1'))",1.0,stop
41,41,v_sink,0.0,0
42,42,"(15, ('2', '1'))",1.0,stop
43,43,"(9, ('0', '1'))",1.0,stop
44,44,"(12, ('1', '0'))",2.0,stop
45,45,"(10, ('1', '1'))",2.0,stop
46,46,"(13, ('0', '1'))",1.0045150001695682,1
47,47,"(2, ('0', '0'))",1.1636281598123084,1
48,48,"(12, ('1', '1'))",2.0,stop
49,49,"(5, ('2', '0'))",0.0,0
50,50,"(6, ('0', '0'))",1.348049287515631,1
51,51,"(7, ('2', '0'))",0.8064932144834231,2
52,52,"(1, ('0', '1'))",1.0,stop
53,53,"(5, ('2', '1'))",1.0,stop
54,54,"(8, ('0', '0'))",0.30403593645520205,2
55,55,"(2, ('1', '0'))",2.0,stop
56,56,"(6, ('0', '1'))",1.359693235578585,1
57,57,"(9, ('2', '0'))",0.0,0
58,58,"(3, ('0', '1'))",1.3202646789481658,2
59,59,"(6, ('1', '0'))",2.0,stop
60,60,"(7, ('2', '1'))",1.0,stop
61,61,"(14, ('0', '1'))",1.1920412965537892,0
62,62,"(13, ('2', '0'))",0.29986534747776433,1
63,63,"(4, ('1', '0'))",2.0,stop
64,64,"(2, ('1', '1'))",2.0,stop
65,65,"(8, ('1', '0'))",2.0,stop
66,66,"(9, ('2', '1'))",1.0,stop
67,67,"(6, ('1', '1'))",2.0,stop
68,68,"(13, ('2', '1'))",1.0,stop
69,69,"(4, ('1', '1'))",2.0,stop
70,70,"(8, ('1', '1'))",2.0,stop
71,71,"(1, ('2', '0'))",0.38314585749917485,1
72,72,"(0, ('0', '0'))",0.0,0
73,73,"(11, ('0', '0'))",1.4985962187494155,0
74,74,"(3, ('2', '0'))",0.6588205734197029,2
75,75,"(14, ('2', '0'))",0.45535108320697537,0
76,76,"(1, ('2', '1'))",1.0,stop
77,77,"(15, ('0', '0'))",0.0,0
78,78,"(3, ('2', '1'))",1.0,stop
79,79,"(10, ('0', '1'))",1.5393122157838273,1
80,80,"(14, ('2', '1'))",1.0,stop
81,81,"(4, ('0', '0'))",0.1821990965537638,2
82,82,"(0, ('1', '0'))",2.0,stop
83,83,"(11, ('1', '0'))",2.0,stop
84,84,"(12, ('0', '1'))",1.0,stop
85,85,"(15, ('1', '0'))",2.0,stop
86,86,"(0, ('1', '1'))",2.0,stop
87,87,"(11, ('1', '1'))",2.0,stop
88,88,"(5, ('0', '0'))",0.0,0
89,89,"(15, ('1', '1'))",2.0,stop
90,90,"(7, ('0', '0'))",1.6129864289668463,2
91,91,"(10, ('2', '0'))",0.7432876308536626,1
92,92,"(2, ('0', '1'))",1.167911840287994,1
93,93,"(5, ('1', '0'))",2.0,stop
94,94,"(12, ('2', '0'))",0.23084209990117185,1
95,95,"(10, ('2', '1'))",1.0,stop
96,96,"(13, ('0', '0'))",0.5997306949555287,1
